City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hobart,AU,73.26,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
5,Pizarro,CO,74.84,overcast clouds,4.9533,-77.366,Hotel Limonar
6,Tuatapere,NZ,74.64,few clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
7,Dicabisagan,PH,80.04,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
9,Atuona,PF,78.55,clear sky,-9.8,-139.0333,Villa Enata
12,Jardim,BR,71.22,clear sky,-21.4803,-56.1381,Estancia Hotel - Jardim MS
16,New Norfolk,AU,72.91,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
17,Cayenne,GF,75.24,light rain,4.9333,-52.3333,Hôtel Le Dronmi
20,Touros,BR,81.5,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
21,Butaritari,KI,81.79,light rain,3.0707,172.7902,Isles Sunset Lodge
25,Airai,TL,71.37,moderate rain,-8.9266,125.4092,
26,Kapaa,US,78.78,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
27,Rikitea,PF,79.07,scattered clouds,-23.1203,-134.9692,People ThankYou
29,Hithadhoo,MV,81.73,few clouds,-0.6,73.0833,Scoop Guest House
30,Port Macquarie,AU,87.89,clear sky,-31.4333,152.9167,Rydges Port Macquarie
34,Port Moresby,PG,89.02,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
36,Vaini,TO,84.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
37,Pochutla,MX,77.85,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
38,Busselton,AU,82.04,clear sky,-33.65,115.3333,Observatory Guest House
40,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
44,Ponta Do Sol,PT,70.72,overcast clouds,32.6667,-17.1,Hotel do Campo
49,Bluff,NZ,75.79,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
50,Hambantota,LK,76.62,broken clouds,6.1241,81.1185,Bungalow 63
62,Ewa Beach,US,80.55,scattered clouds,21.3156,-158.0072,Uncle Junior Robert
65,Wonthaggi,AU,74.19,broken clouds,-38.6044,145.5913,Wonthaggi Caravans & Trailers
66,Port Lincoln,AU,70.16,scattered clouds,-34.7333,135.8667,Port Lincoln Hotel
68,Aguimes,ES,72.66,clear sky,27.9054,-15.4461,Hotel Villa de Aguimes
71,Mataura,NZ,81.05,few clouds,-46.1927,168.8643,Ellie's Villa
73,Mar Del Plata,AR,70.09,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
74,Puerto Ayora,EC,73.49,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
75,Pisco,PE,72.01,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
78,Vao,NC,81.05,light rain,-22.6667,167.4833,Hotel Kou-Bugny
87,Kiunga,PG,79.0,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
92,Carutapera,BR,75.54,overcast clouds,-1.195,-46.02,Lidera
95,Puerto Escondido,MX,79.63,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
97,Faanui,PF,81.27,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
100,Ahuimanu,US,80.31,broken clouds,21.4447,-157.8378,Paradise Bay Resort
102,Cidreira,BR,72.28,overcast clouds,-30.1811,-50.2056,Hotel Castelo
105,Sinazongwe,ZM,72.72,light rain,-17.2614,27.4618,Lakeview Lodge
