City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hobart,AU,-42.8794,147.3294,73.26,42,75,16.11,broken clouds
1,Beringovskiy,RU,63.05,179.3167,-16.42,86,2,10.0,clear sky
2,Tasiilaq,GL,65.6145,-37.6368,14.16,54,100,8.7,overcast clouds
3,Kodiak,US,57.79,-152.4072,20.71,42,0,14.97,clear sky
4,Albany,US,42.6001,-73.9662,40.68,66,100,4.25,overcast clouds
5,Pizarro,CO,4.9533,-77.366,74.84,90,90,2.68,overcast clouds
6,Tuatapere,NZ,-46.1333,167.6833,74.64,50,20,3.06,few clouds
7,Dicabisagan,PH,17.0818,122.4157,80.04,70,56,5.79,broken clouds
8,Norman Wells,CA,65.282,-126.8329,-7.56,64,100,3.44,light snow
9,Atuona,PF,-9.8,-139.0333,78.55,76,10,17.49,clear sky
10,Mayang Imphal,IN,24.6167,93.8833,48.25,87,40,0.0,mist
11,Ushuaia,AR,-54.8,-68.3,47.86,46,75,18.41,broken clouds
12,Jardim,BR,-21.4803,-56.1381,71.22,47,5,4.14,clear sky
13,Nexo,DK,55.0607,15.1306,39.29,89,100,19.71,overcast clouds
14,Aasiaat,GL,68.7098,-52.8699,-4.72,97,100,18.68,overcast clouds
15,Akureyri,IS,65.6835,-18.0878,10.33,67,0,3.44,clear sky
16,New Norfolk,AU,-42.7826,147.0587,72.91,31,10,9.31,clear sky
17,Cayenne,GF,4.9333,-52.3333,75.24,92,75,5.01,light rain
18,Laguna,US,38.421,-121.4238,67.82,58,0,0.0,clear sky
19,Aktash,RU,50.3,87.7333,-18.36,96,99,3.56,overcast clouds
20,Touros,BR,-5.1989,-35.4608,81.5,71,78,8.81,broken clouds
21,Butaritari,KI,3.0707,172.7902,81.79,77,100,15.26,light rain
22,Nikolskoye,RU,59.7035,30.7861,35.87,98,100,10.83,overcast clouds
23,Ibra,OM,22.6906,58.5334,59.45,59,1,4.43,clear sky
24,Walvis Bay,NA,-22.9575,14.5053,67.08,94,0,3.44,clear sky
25,Airai,TL,-8.9266,125.4092,71.37,76,80,0.92,moderate rain
26,Kapaa,US,22.0752,-159.319,78.78,70,75,6.91,broken clouds
27,Rikitea,PF,-23.1203,-134.9692,79.07,72,50,16.42,scattered clouds
28,Tiksi,RU,71.6872,128.8694,-12.91,93,100,12.59,overcast clouds
29,Hithadhoo,MV,-0.6,73.0833,81.73,74,14,11.86,few clouds
30,Port Macquarie,AU,-31.4333,152.9167,87.89,46,0,6.82,clear sky
31,Cape Town,ZA,-33.9258,18.4232,68.88,89,75,5.75,broken clouds
32,Iqaluit,CA,63.7506,-68.5145,-27.31,74,40,4.61,scattered clouds
33,Fort Nelson,CA,58.8053,-122.7002,9.99,85,75,3.44,broken clouds
34,Port Moresby,PG,-9.4431,147.1797,89.02,66,20,11.5,few clouds
35,Tigil,RU,57.8,158.6667,8.06,85,13,1.16,few clouds
36,Vaini,TO,-21.2,-175.2,84.36,89,40,10.36,scattered clouds
37,Pochutla,MX,15.7432,-96.4661,77.85,77,40,3.2,scattered clouds
38,Busselton,AU,-33.65,115.3333,82.04,41,5,6.89,clear sky
39,Qaanaaq,GL,77.484,-69.3632,-20.78,66,96,7.27,overcast clouds
40,Avarua,CK,-21.2078,-159.775,80.65,83,20,13.8,few clouds
41,Guerrero Negro,MX,27.9769,-114.0611,63.77,55,0,9.19,clear sky
42,Port Alfred,ZA,-33.5906,26.891,64.9,84,1,9.08,clear sky
43,Portland,US,45.5234,-122.6762,55.6,79,40,3.0,scattered clouds
44,Ponta Do Sol,PT,32.6667,-17.1,70.72,29,100,3.8,overcast clouds
45,Aliwal North,ZA,-30.6937,26.7114,64.45,60,4,2.57,clear sky
46,Lebu,CL,-37.6167,-73.65,59.86,83,38,21.14,scattered clouds
47,Ribeira Grande,PT,38.5167,-28.7,59.34,71,2,15.61,clear sky
48,Ponta Delgada,PT,37.7333,-25.6667,58.5,88,20,13.8,few clouds
49,Bluff,NZ,-46.6,168.3333,75.79,89,55,12.66,broken clouds
50,Hambantota,LK,6.1241,81.1185,76.62,75,77,4.29,broken clouds
51,Anadyr,RU,64.75,177.4833,-25.1,75,0,6.71,clear sky
52,Umred,IN,20.85,79.3333,64.69,52,94,7.25,overcast clouds
53,Dikson,RU,73.5069,80.5464,5.31,94,100,20.87,light snow
54,Saldanha,ZA,-33.0117,17.9442,64.45,93,38,3.06,scattered clouds
55,Geraldton,AU,-28.7667,114.6,91.81,22,0,5.75,clear sky
56,Yellowknife,CA,62.456,-114.3525,-6.59,87,100,14.97,light snow
57,Mantua,IT,45.1667,10.7833,46.27,91,9,4.41,clear sky
58,Punta Arenas,CL,-53.15,-70.9167,46.51,57,40,24.16,scattered clouds
59,Bredasdorp,ZA,-34.5322,20.0403,63.72,88,100,6.91,overcast clouds
60,Ayan,RU,56.45,138.1667,16.07,93,100,9.04,snow
61,Jalu,LY,29.0331,21.5482,48.69,61,5,9.93,clear sky
62,Ewa Beach,US,21.3156,-158.0072,80.55,59,40,16.11,scattered clouds
63,Severo-Kurilsk,RU,50.6789,156.125,30.97,75,100,18.92,overcast clouds
64,Port Elizabeth,ZA,-33.918,25.5701,64.54,81,12,7.92,few clouds
65,Wonthaggi,AU,-38.6044,145.5913,74.19,65,63,9.62,broken clouds
66,Port Lincoln,AU,-34.7333,135.8667,70.16,51,37,9.64,scattered clouds
67,East London,ZA,-33.0153,27.9116,67.59,77,0,6.02,clear sky
68,Aguimes,ES,27.9054,-15.4461,72.66,40,0,2.3,clear sky
69,Mount Gambier,AU,-37.8333,140.7667,68.68,45,30,10.07,scattered clouds
70,Dinar,TR,38.065,30.1656,31.96,87,78,7.56,broken clouds
71,Mataura,NZ,-46.1927,168.8643,81.05,34,23,6.13,few clouds
72,Castro,BR,-24.7911,-50.0119,59.0,98,16,6.04,few clouds
73,Mar Del Plata,AR,-38.0023,-57.5575,70.09,80,0,20.0,clear sky
74,Puerto Ayora,EC,-0.7393,-90.3518,73.49,83,96,5.68,overcast clouds
75,Pisco,PE,-13.7,-76.2167,72.01,78,75,3.44,broken clouds
76,Chokurdakh,RU,70.6333,147.9167,-20.9,98,100,11.97,overcast clouds
77,Baie-Comeau,CA,49.2168,-68.1489,28.4,86,100,5.75,overcast clouds
78,Vao,NC,-22.6667,167.4833,81.05,86,100,30.62,light rain
79,Thompson,CA,55.7435,-97.8558,-2.04,71,100,3.44,overcast clouds
80,Bertoua,CM,4.5833,13.6833,67.44,27,69,3.91,broken clouds
81,Quiruvilca,PE,-7.9667,-78.2,40.01,96,100,0.51,light rain
82,Richards Bay,ZA,-28.783,32.0377,69.39,92,2,3.29,clear sky
83,Ilulissat,GL,69.2167,-51.1,10.42,67,20,23.02,few clouds
84,Makat,KZ,47.6469,53.3463,27.91,85,100,19.44,overcast clouds
85,Codrington,AU,-38.2667,141.9667,65.77,57,96,14.72,overcast clouds
86,Uji,JP,34.8833,135.8,45.01,65,100,2.62,light rain
87,Kiunga,PG,-6.1219,141.2906,79.0,92,99,2.93,overcast clouds
88,Jamestown,US,42.097,-79.2353,45.72,37,40,10.36,scattered clouds
89,Pevek,RU,69.7008,170.3133,-31.11,99,98,4.99,overcast clouds
90,Bethel,US,41.3712,-73.414,36.48,80,0,0.0,clear sky
91,Kenitra,MA,34.261,-6.5802,41.76,72,1,4.27,clear sky
92,Carutapera,BR,-1.195,-46.02,75.54,92,100,5.37,overcast clouds
93,Karabulak,RU,43.3036,44.8964,36.16,99,100,3.71,light snow
94,Fukumitsu,JP,36.55,136.8667,38.21,69,100,3.49,overcast clouds
95,Puerto Escondido,MX,15.85,-97.0667,79.63,73,0,0.0,clear sky
96,Samarkand,UZ,39.6542,66.9597,35.02,64,0,11.5,clear sky
97,Faanui,PF,-16.4833,-151.75,81.27,75,89,12.59,light rain
98,Borgosesia,IT,45.7145,8.2799,46.4,76,59,3.67,broken clouds
99,Ous,RU,60.9058,61.5186,12.13,93,100,11.12,overcast clouds
100,Ahuimanu,US,21.4447,-157.8378,80.31,65,75,16.11,broken clouds
101,Nanortalik,GL,60.1432,-45.2371,20.07,69,77,7.78,broken clouds
102,Cidreira,BR,-30.1811,-50.2056,72.28,70,98,14.27,overcast clouds
103,Pangnirtung,CA,66.1451,-65.7125,-20.31,97,100,5.59,overcast clouds
104,Longyearbyen,SJ,78.2186,15.6401,15.21,91,100,6.08,overcast clouds
105,Sinazongwe,ZM,-17.2614,27.4618,72.72,82,13,2.93,light rain
106,Cockburn Town,TC,21.4612,-71.1419,77.92,74,0,19.64,clear sky
107,Hwange,ZW,-18.3693,26.5019,66.49,91,7,1.54,clear sky
108,Itoman,JP,26.1247,127.6694,66.58,77,75,19.57,broken clouds
109,Emerald,AU,-23.5333,148.1667,91.35,42,0,2.21,clear sky
110,Hermanus,ZA,-34.4187,19.2345,66.9,87,99,7.05,light rain
111,Saint-Philippe,RE,-21.3585,55.7679,74.79,79,51,2.59,broken clouds
112,Segezha,RU,63.7415,34.3222,25.48,94,100,9.01,overcast clouds
113,Omboue,GA,-1.5746,9.2618,78.62,89,100,5.75,overcast clouds
114,Payson,US,40.0444,-111.7321,44.35,54,40,12.66,scattered clouds
115,Martapura,ID,-3.4167,114.85,78.89,89,40,4.61,scattered clouds
116,Salalah,OM,17.0151,54.0924,69.89,23,0,12.66,clear sky
