City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mayo,US,2022-01-31 19:48:53,38.8876,-76.5119,39.42,56,40,7.0
1,Aksu,CN,2022-01-31 19:48:53,41.1231,80.2644,27.0,44,10,3.69
2,Atuona,PF,2022-01-31 19:48:54,-9.8,-139.0333,78.17,79,7,18.72
3,Lerwick,GB,2022-01-31 19:48:54,60.1545,-1.1494,41.0,80,100,15.23
4,Cherskiy,RU,2022-01-31 19:48:54,68.75,161.3,-20.31,98,100,2.86
5,Yellowknife,CA,2022-01-31 19:47:12,62.456,-114.3525,-9.71,82,20,12.66
6,Port Alfred,ZA,2022-01-31 19:48:55,-33.5906,26.891,75.78,93,100,10.36
7,Lazaro Cardenas,MX,2022-01-31 19:48:55,17.9583,-102.2,81.73,56,0,9.75
8,Vaini,TO,2022-01-31 19:48:55,-21.2,-175.2,79.84,75,100,14.56
9,Hithadhoo,MV,2022-01-31 19:48:56,-0.6,73.0833,82.54,72,35,8.95
10,Rikitea,PF,2022-01-31 19:48:28,-23.1203,-134.9692,77.38,65,100,4.59
11,Hilo,US,2022-01-31 19:48:37,19.7297,-155.09,78.24,58,0,4.61
12,Saint-Philippe,RE,2022-01-31 19:48:42,-21.3585,55.7679,78.39,79,94,15.17
13,Neepawa,CA,2022-01-31 19:48:56,50.2289,-99.4664,18.0,94,100,6.89
14,Buala,SB,2022-01-31 19:48:57,-8.145,159.5921,80.55,80,92,4.21
15,Barrow,US,2022-01-31 19:48:57,71.2906,-156.7887,-11.18,70,0,9.22
16,Mar Del Plata,AR,2022-01-31 19:48:57,-38.0023,-57.5575,68.02,58,75,13.0
17,Ushuaia,AR,2022-01-31 19:48:58,-54.8,-68.3,55.02,66,75,33.38
18,Albany,US,2022-01-31 19:47:02,42.6001,-73.9662,31.57,40,11,1.01
19,Gopalpur,IN,2022-01-31 19:48:58,19.2667,84.9167,69.17,82,18,7.54
20,Livani,LV,2022-01-31 19:48:58,56.3543,26.1758,24.13,94,97,7.34
21,Butaritari,KI,2022-01-31 19:48:59,3.0707,172.7902,81.1,78,95,15.84
22,Zhangjiakou,CN,2022-01-31 19:48:59,40.81,114.8794,6.93,66,4,5.44
23,Hermanus,ZA,2022-01-31 19:48:59,-34.4187,19.2345,77.9,79,23,12.91
24,Yulara,AU,2022-01-31 19:49:00,-25.2406,130.9889,71.44,100,100,16.11
25,Tasiilaq,GL,2022-01-31 19:49:00,65.6145,-37.6368,12.36,96,100,4.23
26,Haines Junction,CA,2022-01-31 19:49:00,60.7522,-137.5108,-25.65,68,96,0.0
27,Burnie,AU,2022-01-31 19:49:01,-41.0667,145.9167,68.92,97,93,5.97
28,Springdale,US,2022-01-31 19:49:01,36.1867,-94.1288,66.25,33,0,15.01
29,Zadar,HR,2022-01-31 19:49:02,44.1197,15.2422,45.21,81,75,16.11
30,Ambon,ID,2022-01-31 19:49:02,-3.6954,128.1814,80.74,78,40,9.22
31,Anadyr,RU,2022-01-31 19:49:02,64.75,177.4833,12.7,67,0,4.47
32,Qaanaaq,GL,2022-01-31 19:49:02,77.484,-69.3632,-20.22,43,0,7.74
33,Bluff,NZ,2022-01-31 19:49:03,-46.6,168.3333,59.81,88,22,3.0
34,Sao Filipe,CV,2022-01-31 19:49:03,14.8961,-24.4956,73.8,74,100,3.49
35,Mount Gambier,AU,2022-01-31 19:44:16,-37.8333,140.7667,60.71,82,40,8.05
36,Kloulklubed,PW,2022-01-31 19:49:04,7.0419,134.2556,81.1,75,100,18.45
37,Teknaf,BD,2022-01-31 19:49:04,20.8624,92.3058,59.77,66,36,9.26
38,Tateyama,JP,2022-01-31 19:49:04,34.9833,139.8667,41.05,51,97,8.77
39,Cape Town,ZA,2022-01-31 19:48:59,-33.9258,18.4232,78.12,76,0,1.01
40,Ponta Do Sol,PT,2022-01-31 19:49:05,32.6667,-17.1,66.0,50,36,13.02
41,Caravelas,BR,2022-01-31 19:49:05,-17.7125,-39.2481,83.08,73,2,11.5
42,Goleta,TN,2022-01-31 19:49:06,36.8181,10.305,57.52,73,0,23.96
43,Znamenskoye,RU,2022-01-31 19:49:06,57.1281,73.8282,8.89,96,96,5.06
44,Berlevag,NO,2022-01-31 19:49:06,70.8578,29.0864,19.4,67,0,10.36
45,Cidreira,BR,2022-01-31 19:50:07,-30.1811,-50.2056,77.67,71,42,7.56
46,New Norfolk,AU,2022-01-31 19:50:07,-42.7826,147.0587,68.76,75,17,1.88
47,Shyroke,UA,2022-01-31 19:50:07,47.6917,33.2571,29.68,87,15,10.4
48,Puerto Ayora,EC,2022-01-31 19:50:08,-0.7393,-90.3518,78.76,90,59,4.0
49,Honningsvag,NO,2022-01-31 19:50:08,70.9821,25.9704,26.35,80,0,16.11
50,Busselton,AU,2022-01-31 19:48:24,-33.65,115.3333,59.04,61,40,14.67
51,Luau,AO,2022-01-31 19:50:09,-10.7073,22.2247,64.31,98,100,4.14
52,Yinchuan,CN,2022-01-31 19:50:09,38.4681,106.2731,18.9,24,78,3.15
53,Arraial Do Cabo,BR,2022-01-31 19:50:09,-22.9661,-42.0278,80.56,89,75,5.75
54,Kapaa,US,2022-01-31 19:50:10,22.0752,-159.319,76.12,76,0,8.05
